City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Plettenberg Bay,ZA,-34.0527,23.3716,56.88,72,67,2.84,broken clouds
244,Port Augusta,AU,-32.5,137.7667,53.31,69,79,4.47,broken clouds
245,Zabid,YE,14.1951,43.3152,84.97,64,71,5.55,broken clouds
246,Padang,ID,-0.9492,100.3543,78.55,81,87,3.58,overcast clouds
247,Praia,CV,14.9215,-23.5087,72.14,73,75,14.97,broken clouds
248,Vila,PT,42.0304,-8.1588,58.08,61,59,1.57,broken clouds
249,Lima,PE,-12.0432,-77.0282,66.45,73,0,10.36,clear sky
250,Iqaluit,CA,63.7506,-68.5145,29.7,63,75,4.61,broken clouds
251,Wamba,NG,8.9333,8.6,82.31,59,97,2.04,overcast clouds
252,Abu Kamal,SY,34.4506,40.9171,69.03,32,0,5.7,clear sky
253,Zhezkazgan,KZ,47.8043,67.7144,53.62,33,100,17.54,moderate rain
254,Huarmey,PE,-10.0681,-78.1522,68.67,80,93,9.44,overcast clouds
255,Kirakira,SB,-10.4544,161.9205,83.48,77,97,11.92,overcast clouds
256,Port Hedland,AU,-20.3167,118.5667,69.85,40,89,8.05,overcast clouds
257,Mar Del Plata,AR,-38.0023,-57.5575,68.88,72,0,16.11,clear sky
258,Eureka,US,40.8021,-124.1637,50.18,60,100,18.61,overcast clouds
259,The Valley,AI,18.217,-63.0578,82.26,83,75,11.5,broken clouds
260,Vigrestad,NO,58.5667,5.7,42.58,69,100,1.7,overcast clouds
261,Merauke,ID,-8.4667,140.3333,80.78,89,100,10.56,overcast clouds
262,Yazman,PK,29.1212,71.7446,92.14,16,0,13.35,clear sky
263,Marrakesh,MA,31.6315,-8.0083,82.47,20,0,4.61,clear sky
264,Pangnirtung,CA,66.1451,-65.7125,27.03,89,87,2.86,overcast clouds
265,Salalah,OM,17.0151,54.0924,84.29,74,40,5.75,scattered clouds
266,Rio Gallegos,AR,-51.6226,-69.2181,42.85,75,0,13.8,clear sky
267,Katangli,RU,51.7102,143.2326,32.04,99,95,13.0,overcast clouds
268,Tortoli,IT,39.9256,9.6572,58.82,88,40,8.05,scattered clouds
269,Innisfail,AU,-17.5333,146.0333,74.86,90,92,11.21,overcast clouds
270,Miraflores,MX,19.2167,-98.8083,83.05,33,79,7.36,broken clouds
271,Junin,AR,-34.5838,-60.9433,66.92,59,96,5.64,overcast clouds
272,Rabo De Peixe,PT,37.8,-25.5833,63.28,83,20,5.75,few clouds
273,Mikhaylovka,RU,50.06,43.2379,47.7,56,7,4.68,clear sky
274,Damietta,EG,31.4165,31.8133,67.75,68,13,17.72,few clouds
275,Riyadh,SA,24.6877,46.7219,77.14,23,0,9.4,clear sky
276,Rurrenabaque,BO,-14.4413,-67.5278,77.47,69,50,1.79,scattered clouds
277,Ouadda,CF,8.0777,22.4007,74.17,71,95,5.59,overcast clouds
278,Pochutla,MX,15.7432,-96.4661,91.22,46,58,8.77,broken clouds
279,Timizart,DZ,36.8,4.2667,55.4,67,6,5.55,clear sky
280,Kushima,JP,31.4583,131.2333,66.83,89,100,2.82,overcast clouds
281,Marathon,US,44.9,-89.7668,62.19,34,75,14.97,broken clouds
282,Meulaboh,ID,4.1363,96.1285,77.13,88,100,3.96,overcast clouds
283,Tecoanapa,MX,16.5167,-98.75,86.13,56,68,10.18,broken clouds
284,Tibacuy,CO,4.3511,-72.4564,80.26,82,52,5.75,broken clouds
285,Sao Filipe,CV,14.8961,-24.4956,73.67,74,0,14.23,clear sky
286,Miranda,CO,3.2499,-76.2281,84.33,81,97,2.35,overcast clouds
287,Souillac,MU,-20.5167,57.5167,71.98,88,20,4.61,few clouds
288,Blackwater,AU,-23.5833,148.8833,67.55,83,100,6.6,overcast clouds
289,Balkanabat,TM,39.5108,54.3671,59.4,74,76,15.32,broken clouds
290,Nouadhibou,MR,20.931,-17.0347,65.03,90,18,20.18,few clouds
291,Neryungri,RU,56.6709,124.6491,34.0,98,100,5.55,light snow
292,Esperance,AU,-33.8667,121.9,59.54,48,1,8.63,clear sky
293,Launceston,AU,-41.45,147.1667,44.15,93,100,6.91,overcast clouds
294,Acopiara,BR,-6.0953,-39.4525,77.99,59,97,3.33,overcast clouds
295,Bageshwar,IN,29.85,79.7667,64.0,48,1,3.06,clear sky
296,Bunia,CD,1.5667,30.25,62.71,95,81,2.21,light rain
297,Mason City,US,43.1536,-93.201,55.33,81,100,14.97,overcast clouds
298,Piacabucu,BR,-10.4056,-36.4344,77.43,77,10,8.79,clear sky
299,Newtownards,GB,54.5924,-5.6909,56.14,89,100,5.75,overcast clouds
300,Pitimbu,BR,-7.4706,-34.8086,77.59,79,98,12.71,overcast clouds
301,Havelock,US,34.8791,-76.9013,55.38,92,100,14.97,mist
302,Grindavik,IS,63.8424,-22.4338,50.47,93,100,21.85,overcast clouds
303,Victor Harbor,AU,-35.5667,138.6167,50.68,70,48,6.06,scattered clouds
304,Aklavik,CA,68.2191,-135.0107,43.0,67,26,8.34,scattered clouds
305,Boguchany,RU,58.3814,97.4531,26.49,75,93,4.81,overcast clouds
306,Puerto Rico,AR,-26.796,-55.024,62.58,79,4,1.32,clear sky
307,Port Said,EG,31.2565,32.2841,68.45,71,7,20.49,clear sky
308,Mana,GF,5.6592,-53.7767,78.04,85,51,8.21,broken clouds
309,Verkhoyansk,RU,67.5447,133.385,32.02,98,100,1.72,snow
310,Pedernales,DO,18.0384,-71.744,83.62,64,4,2.66,clear sky
311,Cherskiy,RU,68.75,161.3,25.11,89,100,12.95,overcast clouds
312,Asau,RO,46.4333,26.4,49.95,82,99,2.15,overcast clouds
313,Kampot,KH,10.6167,104.1833,82.45,90,100,4.65,overcast clouds
314,Cheremshanka,RU,56.1192,60.268,43.48,58,94,3.49,overcast clouds
315,Claremorris,IE,53.7167,-9.0,54.36,90,100,11.03,overcast clouds
316,Pisco,PE,-13.7,-76.2167,68.05,77,0,20.71,clear sky
317,Denpasar,ID,-8.65,115.2167,78.46,100,75,2.3,broken clouds
318,Namibe,AO,-15.1961,12.1522,73.44,61,0,8.23,clear sky
319,Kaitong,CN,44.8135,123.15,54.16,22,0,8.9,clear sky
320,Balkhash,KZ,46.844,74.9804,50.27,33,37,25.86,scattered clouds
321,Metro,ID,-5.1131,105.3067,76.69,85,97,4.65,overcast clouds
322,Faya,SA,18.3851,42.4509,68.11,56,0,0.98,clear sky
323,Siayan,PH,8.2667,123.1,78.46,92,87,4.32,light rain
324,Saint George,US,37.1041,-113.5841,83.62,11,100,46.04,haze
325,Vagur,FO,61.4732,-6.8119,47.57,96,100,25.21,light rain
326,Neuquen,AR,-38.9516,-68.0591,66.09,45,0,2.3,clear sky
327,Clyde River,CA,70.4692,-68.5914,26.83,93,100,12.66,overcast clouds
328,Mandalgovi,MN,45.7625,106.2708,46.85,69,55,26.4,broken clouds
329,Egvekinot,RU,66.3167,-179.1667,28.13,92,100,2.13,overcast clouds
330,Mayo,US,38.8876,-76.5119,57.61,50,100,6.91,overcast clouds
331,Tukrah,LY,32.5341,20.5791,62.06,81,4,3.06,clear sky
332,Tarquinia,IT,42.2482,11.7553,60.8,77,63,7.38,broken clouds
333,Tulum,MX,20.2167,-87.4667,86.09,69,42,7.63,scattered clouds
