City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Kavaratti,IN,2022-05-08 16:35:11,10.5669,72.642,85.12,72,99,15.84
274,Rapar,IN,2022-05-08 16:35:12,23.5667,70.6333,88.3,51,0,11.56
275,Lozna,RO,2022-05-08 16:35:13,47.3167,23.4667,71.71,75,88,4.56
276,Avera,US,2022-05-08 16:35:13,33.194,-82.5271,65.91,62,100,9.73
277,Yerbogachen,RU,2022-05-08 16:35:14,61.2767,108.0108,30.31,97,100,7.0
278,Abu Kamal,SY,2022-05-08 16:35:14,34.4506,40.9171,74.01,26,3,9.37
279,Southbridge,US,2022-05-08 16:35:16,42.0751,-72.0334,57.29,43,100,8.99
280,Caravelas,BR,2022-05-08 16:35:16,-17.7125,-39.2481,76.28,82,100,9.01
281,Port Saint Lucie,US,2022-05-08 16:35:17,27.2939,-80.3503,88.02,59,40,9.22
282,Bereda,ES,2022-05-08 16:35:17,43.2686,-7.5406,75.42,46,20,6.49
283,Diapaga,BF,2022-05-08 16:35:18,12.0708,1.7889,102.52,22,57,1.92
284,Itoman,JP,2022-05-08 16:35:19,26.1247,127.6694,77.4,96,20,10.36
285,Qinzhou,CN,2022-05-08 16:35:19,21.95,108.6167,71.47,93,94,4.21
286,Dongsheng,CN,2022-05-08 16:35:20,39.8161,109.9776,52.03,45,100,6.85
287,Langxiang,CN,2022-05-08 16:35:20,46.95,128.8833,39.27,73,0,2.8
288,Tukrah,LY,2022-05-08 16:35:21,32.5341,20.5791,65.1,72,0,8.88
289,Clyde River,CA,2022-05-08 16:35:22,70.4692,-68.5914,25.03,86,100,12.66
290,Harper,LR,2022-05-08 16:35:22,4.375,-7.7169,77.27,90,100,4.92
291,Samastipur,IN,2022-05-08 16:35:22,25.85,85.7833,89.31,41,49,7.11
292,Wagar,SD,2022-05-08 16:35:23,16.1525,36.2032,99.14,12,14,14.79
293,Daru,PG,2022-05-08 16:35:23,-9.0763,143.2092,80.65,91,94,8.05
