City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
495,Alenquer,BR,73.98,light rain,-1.9417,-54.7383,Detinha Hotel
496,Turmalina,BR,68.54,broken clouds,-17.2856,-42.73,Hotel Cristal
499,Lambarene,GA,76.12,overcast clouds,-0.7001,10.2406,Le Refuge
500,Mahibadhoo,MV,83.75,overcast clouds,3.7833,72.9667,Omadhoo Inn
502,Puerto Escondido,MX,88.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
504,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
506,Lethem,GY,76.82,overcast clouds,3.3803,-59.7968,Savannah Inn
507,Chapleau,CA,66.29,scattered clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
510,Jalu,LY,71.6,clear sky,29.0331,21.5482,صاحبة الفخامة
512,Tignere,CM,70.77,few clouds,7.3667,12.65,SADECK
514,Guerrero Negro,MX,65.05,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
516,Mayumba,GA,76.77,scattered clouds,-3.432,10.6554,LIKWALE LODGE
518,Amapa,BR,72.0,overcast clouds,1.0,-52.0,
520,Karratha,AU,75.45,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
521,Moose Factory,CA,71.6,clear sky,51.2585,-80.6094,Moosonee Lilypad
522,Bahia Blanca,AR,66.16,scattered clouds,-38.7196,-62.2724,Hotel Argos
528,Boa Vista,BR,82.38,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
529,Ewa Beach,US,84.15,broken clouds,21.3156,-158.0072,Base Lodging
531,Noumea,NC,77.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
534,Dwarka,IN,81.05,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
537,Hambantota,LK,82.36,overcast clouds,6.1241,81.1185,Bungalow 63
538,Boende,CD,72.25,overcast clouds,-0.2167,20.8667,
539,Xiamen,CN,72.25,light intensity shower rain,24.4798,118.0819,Xiamen Dongchen Hotel
540,Zemio,CF,69.28,light rain,5.0314,25.1361,OCHA Office
541,Pangai,TO,78.91,few clouds,-19.8,-174.35,Ha'apai Beach Resort
543,Caravelas,BR,72.23,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
544,Mount Isa,AU,69.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
547,Hobyo,SO,83.5,moderate rain,5.3505,48.5268,Iftin hotel hobyo
548,Black River,JM,81.75,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
551,Longyan,CN,67.12,overcast clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
552,Westerville,US,68.09,clear sky,40.1262,-82.9291,Hilton Garden Inn Columbus/Polaris
554,Pimenta Bueno,BR,76.77,broken clouds,-11.6725,-61.1936,Cristalina Palace Hotel
555,Koutsouras,GR,66.11,scattered clouds,35.0339,25.9469,The White Houses
556,Clarksdale,US,82.9,clear sky,34.2001,-90.5709,Americas Best Value Inn & Suites Clarksdale
563,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
567,Carlyle,US,75.09,overcast clouds,38.6103,-89.3726,Mariner's Village at Carlyle Lake
568,Lamak,PH,82.04,overcast clouds,10.3997,124.7389,Lyra's Pensionne House
571,Axim,GH,80.49,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
572,Aripuana,BR,75.18,scattered clouds,-9.1667,-60.6333,
